Disease,Department,arabic_disease
fungal infection of the hair,Dermatology,العدوى الفطرية للشعر
chronic constipation,Gastroenterology,الإمساك المزمن
cervical cancer,Gynecology,سرطان عنق الرحم
injury of the ankle,Orthopedics,إصابة الكاحل
edward syndrome,Pediatrics,متلازمة إدوارد
hypertension of pregnancy,Obstetrics,ارتفاع ضغط الدم من الحمل
balanitis,Urology,التهاب بالان
alcohol withdrawal,Psychiatry,انسحاب الكحول
leukemia,Oncology,سرطان الدم
blepharitis,Ophthalmology,التهاب الجفن
pulmonary embolism,Pulmonology,الانسداد الرئوي
mitral valve disease,Cardiology,مرض الصمام التاجي
carpal tunnel syndrome,Orthopedics,متلازمة النفق الرسغي
diverticulosis,Gastroenterology,التخلص من التهاب المفاصل
conversion disorder,Psychiatry,اضطراب التحويل
dislocation of the patella,Orthopedics,خلع الرضفة
pain after an operation,General Surgery,ألم بعد العملية
intracranial abscess,Neurosurgery,خراج داخل الجمجمة
bunion,Orthopedics,ورم
knee ligament or meniscus tear,Orthopedics,الرباط في الركبة أو الغضروف المفصلي المسيل للدموع
pyogenic skin infection,Dermatology,عدوى الجلد البيني
atrophy of the corpus cavernosum,Urology,ضمور كهف كورنوسوم
lymphogranuloma venereum,Gynecology,Lymphogranuloma venereum
presbyacusis,ENT,presbyacusis
scoliosis,Orthopedics,الجنف
gastroduodenal ulcer,Gastroenterology,قرحة المعدة
toxoplasmosis,Infectious Disease,داء التوكسوبلازم
narcolepsy,Neurology,ناروليبسي
thyroid disease,Endocrinology,مرض الغدة الدرقية
decubitus ulcer,Dermatology,قرحة Decubitus
vesicoureteral reflux,Urology,ارتجاع الحويصات
paronychia,Dermatology,بارنيا
open wound from surgical incision,General Surgery,جرح مفتوح من شق الجراحية
multiple myeloma,Oncology,ورم نقيي متعدد
hypercholesterolemia,Cardiology,فرط كوليسترول الدم
dislocation of the wrist,Orthopedics,خلع المعصم
dry eye of unknown cause,Ophthalmology,جفاف العين لسبب غير معروف
acute bronchitis,Pulmonology,التهاب الشعب الهوائية الحاد
tooth abscess,Dentistry,خراج الأسنان
fracture of the rib,Orthopedics,كسر الضلع
congenital malformation syndrome,Pediatrics,متلازمة تشوه الخلقية
fracture of the ankle,Orthopedics,كسر الكاحل
injury to the hip,Orthopedics,إصابة الورك
injury to the leg,Orthopedics,إصابة في الساق
hypernatremia,Nephrology,فرط صوديوم الدم
bladder obstruction,Urology,إعاقة المثانة
systemic lupus erythematosis (sle),Rheumatology,مرض الذئبة الحمامية الجهازية (SLE)
obstructive sleep apnea (osa),Pulmonology,توقف التنفس أثناء النوم (OSA)
raynaud disease,Rheumatology,مرض رينود
guillain barre syndrome,Neurology,متلازمة Guillain Barre
foreign body in the nose,ENT,الجسم الغريب في الأنف
histoplasmosis,Infectious Disease,داء الأهليزم
fracture of the leg,Orthopedics,كسر الساق
peripheral arterial disease,Vascular Surgery,مرض الشرايين المحيطية
coagulation (bleeding) disorder,Hematology,اضطراب التخثر (النزيف)
panic disorder,Psychiatry,اضطراب الهلع
endometriosis,Gynecology,بطانة الرحم
allergy to animals,Allergy,الحساسية للحيوانات
friedrich ataxia,Neurology,فريدريتش Ataxia
fracture of the arm,Orthopedics,كسر الذراع
heat stroke,Emergency Medicine,السكتة الدماغية
hydrocephalus,Neurosurgery,استسقاء الرأس
pneumonia,Pulmonology,التهاب رئوي
hemochromatosis,Gastroenterology,داء الدم
open wound of the lip,Plastic Surgery,الجرح المفتوح للشفة
neurosis,Psychiatry,العصبية
abdominal aortic aneurysm,Vascular Surgery,تمدد الأوعية الدموية الأبهري
infectious gastroenteritis,Gastroenterology,التهاب المعدة والأمعاء المعدية
osteomyelitis,Orthopedics,التهاب العظم العظمي
substance-related mental disorder,Psychiatry,الاضطراب العقلي المتعلق بالمواد
congenital heart defect,Cardiology,عيب القلب الخلقي
primary immunodeficiency,Immunology,نقص المناعة الأولية
meckel diverticulum,Gastroenterology,ميكل رتج
bell palsy,Neurology,شلل الجرس
acute bronchospasm,Pulmonology,تشنج القصبي الحاد
athlete's foot,Dermatology,قدم الرياضي
primary insomnia,Psychiatry,الأرق الأساسي
tuberous sclerosis,Neurology,التصلب العصبي
epidural hemorrhage,Neurosurgery,النزيف فوق الجافية
syphilis,Gynecology,مرض الزهري
tic (movement) disorder,Neurology,الاضطراب (حركة الحركة)
pituitary adenoma,Endocrinology,الورم الحميد الغدة النخامية
open wound of the shoulder,Orthopedics,جرح مفتوح من الكتف
vocal cord polyp,ENT,الحبل الصوتي polyp
urge incontinence,Urology,حث السلس
connective tissue disorder,Rheumatology,اضطراب الأنسجة الضامة
dissociative disorder,Psychiatry,الاضطراب الانفصالي
bursitis,Orthopedics,التهاب كيسي
ectopic pregnancy,Obstetrics,الحمل خارج الرحم
skin cancer,Dermatology,سرطان الجلد
rheumatoid arthritis,Rheumatology,التهاب المفصل الروماتويدي
kidney stone,Urology,حصاة كلوية
threatened pregnancy,Obstetrics,الحمل المهددة
multiple sclerosis,Neurology,تصلب متعدد
diabetic peripheral neuropathy,Neurology,الاعتلال العصبي المحيطي السكري
celiac disease,Gastroenterology,مرض الاضطرابات الهضمية
skin polyp,Dermatology,البوليب الجلد
actinic keratosis,Dermatology,القرنية الحاكمة
orbital cellulitis,Ophthalmology,التهاب النسيج الخلوي المداري
pseudohypoparathyroidism,Endocrinology,Pseudohyparathyroidism
acute stress reaction,Psychiatry,رد فعل الإجهاد الحاد
cataract,Ophthalmology,إعتام عدسة العين
typhoid fever,Infectious Disease,حمى التيفوئيد
colonic polyp,Gastroenterology,الاورام الحميدة القولونية
hepatic encephalopathy,Gastroenterology,اعتلال الدماغ الكبدي
central retinal artery or vein occlusion,Ophthalmology,شريان الشبكية المركزي أو انسداد الوريد
conjunctivitis,Ophthalmology,التهاب الملتحمة
head injury,Neurosurgery,"Translation Error: the JSON object must be str, bytes or bytearray, not NoneType"
hyperhidrosis,Dermatology,فرط التعرق
open wound of the eye,Ophthalmology,جرح مفتوح للعين
peritonsillar abscess,ENT,خُراج حول اللوزة
mononeuritis,Neurology,التهاب الأحجار
infection of open wound,General Surgery,عدوى الجرح المفتوح
gynecomastia,Endocrinology,التثدي
benign kidney cyst,Urology,كيس الكلى الحميد
hydrocele of the testicle,Urology,الهيدروكل من الخصية
mittelschmerz,Gynecology,ألم متوسط
essential tremor,Neurology,هزة أساسية
pharyngitis,ENT,التهاب البلعوم
herniated disk,Orthopedics,قرص فتق
injury to the hand,Orthopedics,إصابة في اليد
crohn disease,Gastroenterology,مرض كرون
macular degeneration,Ophthalmology,تنكس البقعي
lung contusion,Pulmonology,كدمة الرئة
lymphangitis,Vascular Surgery,التهاب الليمفاوية
hypertensive heart disease,Cardiology,مرض القلب ارتفاع ضغط الدم
stomach cancer,Oncology,سرطان المعدة
meningioma,Neurosurgery,ورم سحائي
endometrial cancer,Gynecology,سرطان بطانة الرحم
hashimoto thyroiditis,Endocrinology,التهاب الغدة الدرقية Hashimoto
bone disorder,Orthopedics,اضطراب العظام
open wound of the neck,Orthopedics,جرح مفتوح من الرقبة
spondylitis,Orthopedics,التهاب الفقار
pinguecula,Ophthalmology,الناس
brain cancer,Oncology,سرطان الدماغ
urethral stricture,Urology,تضيق مجرى البول
cervicitis,Gynecology,التهاب عنق الرحم
cysticercosis,Neurology,cysticerissis
heart failure,Cardiology,سكتة قلبية
heart block,Cardiology,كتلة القلب
ependymoma,Oncology,ependymoma
restless leg syndrome,Neurology,متلازمة الساق المضطربة
malaria,Infectious Disease,ملاريا
smoking or tobacco addiction,Psychiatry,التدخين أو إدمان التبغ
hypoglycemia,Endocrinology,نقص السكر في الدم
idiopathic nonmenstrual bleeding,Gynecology,مجهول السبب نزيف غير حيازي
appendicitis,General Surgery,التهاب الزائدة الدودية
indigestion,Gastroenterology,عسر الهضم
spinocerebellar ataxia,Neurology,رنح Spinocerebellar
pleural effusion,Pulmonology,الانصباب الجنبي
injury to the face,Plastic Surgery,إصابة في الوجه
open wound of the hand,Orthopedics,الجرح المفتوح لليد
open wound of the chest,Thoracic Surgery,جرح مفتوح للصدر
syringomyelia,Neurology,syringomyelia
fracture of the foot,Orthopedics,كسر القدم
empyema,Thoracic Surgery,إمبييم
cholecystitis,Gastroenterology,التهاب المرارة
open wound due to trauma,Trauma Surgery,الجرح المفتوح بسبب الصدمة
alcohol intoxication,Emergency Medicine,تسمم الكحول
hyperemesis gravidarum,Obstetrics,حامل Hyperemesis
amblyopia,Ophthalmology,الحول
epididymitis,Urology,التهاب البربخ
abscess of the lung,Pulmonology,خراج الرئة
nose disorder,ENT,اضطراب الأنف
poisoning due to analgesics,Emergency Medicine,التسمم بسبب المسكنات
ileus,Gastroenterology,الدقاق
bone cancer,Oncology,سرطان العظام
intestinal cancer,Oncology,سرطان الأمعاء
gastritis,Gastroenterology,التهاب المعدة
poisoning due to opioids,Emergency Medicine,التسمم بسبب المواد الأفيونية
glucocorticoid deficiency,Endocrinology,نقص الجلوكورتيكويد
magnesium deficiency,Endocrinology,نقص المغنيسيوم
ischemic heart disease,Cardiology,أمراض القلب الإقفارية
depression,Psychiatry,اكتئاب
pneumothorax,Pulmonology,استرواح الصدر
optic neuritis,Ophthalmology,التهاب الأعصاب البصري
lipoma,Dermatology,الورم الشحمي
anemia of chronic disease,Hematology,فقر الدم من الأمراض المزمنة
torticollis,Orthopedics,Torticollis
joint effusion,Orthopedics,انصباب المفصل
vertebrobasilar insufficiency,Neurology,قصور الفقرات
birth trauma,Obstetrics,صدمة الولادة
cervical disorder,Gynecology,اضطراب عنق الرحم
allergy,Allergy,حساسية
vacterl syndrome,Pediatrics,متلازمة Vacterl
idiopathic excessive menstruation,Gynecology,الحيض المفرط مجهول السبب
hemiplegia,Neurology,فالج
labyrinthitis,ENT,التهاب المتاهة
phimosis,Urology,التصور
meningitis,Neurology,التهاب السحايا
kaposi sarcoma,Oncology,كابوسي ساركوما
esophageal varices,Gastroenterology,دوالي المريء
subarachnoid hemorrhage,Neurosurgery,نزيف تحت العنكبوتية
drug abuse (methamphetamine),Psychiatry,تعاطي المخدرات (الميثامفيتامين)
personality disorder,Psychiatry,اضطراب الشخصية
impetigo,Dermatology,الانغماس
diaper rash,Dermatology,طفح حفاضات
missed abortion,Obstetrics,الإجهاض الفائت
tietze syndrome,Orthopedics,متلازمة تيتز
cat scratch disease,Infectious Disease,مرض خدش القط
carbon monoxide poisoning,Emergency Medicine,التسمم بأول أكسيد الكربون
vaginismus,Gynecology,المهبل
idiopathic irregular menstrual cycle,Gynecology,دورة الحيض غير النظامية مجهول السبب
myopia,Ophthalmology,قصر النظر
fracture of the hand,Orthopedics,كسر اليد
oral thrush (yeast infection),Dentistry,القلاع الفموي (عدوى الخميرة)
tension headache,Neurology,صداع التوتر
injury to the abdomen,Trauma Surgery,إصابة البطن
mumps,Pediatrics,النكاف
carcinoid syndrome,Oncology,متلازمة السرطانات
zenker diverticulum,Gastroenterology,Zenker Deverticulum
endophthalmitis,Ophthalmology,باطن باطن
hpv,Gynecology,فيروس الورم الحليمي البشري
open wound of the foot,Orthopedics,فتح الجرح من القدم
ascending cholangitis,Gastroenterology,الصعود التهاب الكولانج
achalasia,Gastroenterology,Achalasia
uterine cancer,Gynecology,سرطان الرحم
vitamin a deficiency,Nutrition,فيتامين أ نقص
testicular cancer,Urology,سرطان الخصية
white blood cell disease,Hematology,مرض خلايا الدم البيضاء
lymphadenitis,Infectious Disease,التهاب الليمفاوية
salivary gland disorder,ENT,اضطراب الغدة اللعابية
poisoning due to ethylene glycol,Emergency Medicine,التسمم بسبب الإيثيلين جليكول
dyshidrosis,Dermatology,dyshidrosis
sporotrichosis,Infectious Disease,sporotrichosis
protein deficiency,Nutrition,نقص البروتين
hidradenitis suppurativa,Dermatology,التهاب الهادي
fracture of the shoulder,Orthopedics,كسر الكتف
contact dermatitis,Dermatology,الاتصال التهاب الجلد
aortic valve disease,Cardiology,مرض الصمام الأبهري
psoriasis,Dermatology,صدفية
delirium,Psychiatry,هذيان
melanoma,Dermatology,سرطان الجلد
fungal infection of the skin,Dermatology,العدوى الفطرية للجلد
lactose intolerance,Gastroenterology,التعصب لاكتوز
ectropion,Ophthalmology,ectropion
sensorineural hearing loss,ENT,فقدان السمع الحسي
pemphigus,Dermatology,pemphigus
lung cancer,Oncology,سرطان الرئة
gestational diabetes,Obstetrics,مرض السكري الحمل
gastroesophageal reflux disease (gerd),Gastroenterology,مرض الجزر المعدي المريئي (GERD)
premature ventricular contractions (pvcs),Cardiology,تقلصات البطين المبكرة (PVCs)
adrenal cancer,Oncology,سرطان الغدة الكظرية
fibrocystic breast disease,Oncology,مرض الثدي الليفي
factitious disorder,Psychiatry,اضطراب في الواقع
injury to the arm,Orthopedics,إصابة الذراع
tourette syndrome,Neurology,متلازمة توريت
spondylosis,Orthopedics,داء الفقار
ankylosing spondylitis,Rheumatology,التهاب الفقرات التصلبي
pituitary disorder,Endocrinology,اضطراب الغدة النخامية
injury to the knee,Orthopedics,إصابة في الركبة
diabetic retinopathy,Ophthalmology,اعتلال الشبكية السكري
corneal abrasion,Ophthalmology,تآكل القرنية
acanthosis nigricans,Dermatology,nigricans dianthosis
osteochondrosis,Orthopedics,العظم
arrhythmia,Cardiology,عدم انتظام ضربات القلب
injury to the spinal cord,Neurosurgery,إصابة الحبل الشوكي
valley fever,Infectious Disease,حمى الوادي
ovarian torsion,Gynecology,راتية المبيض
wilson disease,Gastroenterology,مرض ويلسون
cardiomyopathy,Cardiology,اعتلال عضلة القلب
hemorrhoids,Colorectal Surgery,البواسير
neuralgia,Neurology,الألم العصبي
open wound of the head,Neurosurgery,جرح مفتوح من الرأس
male genitalia infection,Urology,العدوى التناسلية الذكور
retinal detachment,Ophthalmology,انفصال الشبكية
emphysema,Pulmonology,انتفاخ الرئة
chronic knee pain,Orthopedics,ألم في الركبة المزمن
breast cancer,Oncology,سرطان الثدي
choledocholithiasis,Gastroenterology,داء المقطوع
cold sore,Dermatology,قرحة زكام
acute sinusitis,ENT,التهاب الجيوب الأنفية الحاد
de quervain disease,Orthopedics,من قبل مرض الكبرى
shingles (herpes zoster),Dermatology,القوباء المنطقية (الهربس النطاقي)
dislocation of the shoulder,Orthopedics,خلع الكتف
lichen planus,Dermatology,بلانوس
vulvodynia,Gynecology,vulvodynia
idiopathic infrequent menstruation,Gynecology,الحيض النادر مجهول السبب
high blood pressure,Cardiology,ضغط دم مرتفع
stroke,Neurology,سكتة دماغية
stress incontinence,Urology,سلس الإجهاد
hypokalemia,Nephrology,نقص بوتاسيوم الدم
acariasis,Dermatology,EME
presbyopia,Ophthalmology,بريسبيوبيا
esophageal cancer,Oncology,سرطان المريء
intestinal obstruction,Gastroenterology,انسداد الأمعاء
onychomycosis,Dermatology,onychomycosis
foreign body in the throat,ENT,الجسم الغريب في الحلق
thoracic aortic aneurysm,Vascular Surgery,تمدد الأوعية الأبهري الصدري
concussion,Neurosurgery,ارتجاج
vaginal cyst,Gynecology,كيس مهبلي
g6pd enzyme deficiency,Hematology,G6PD نقص الإنزيم
injury to the finger,Orthopedics,إصابة الإصبع
syndrome of inappropriate secretion of adh (siadh),Endocrinology,متلازمة إفراز غير لائق لـ ADH (SIADH)
lice,Dermatology,قمل
huntington disease,Neurology,مرض هنتنغتون
pelvic organ prolapse,Gynecology,هبوط العضو الحوض
acute fatty liver of pregnancy (aflp),Obstetrics,الكبد الدهني الحاد من الحمل (AFLP)
dislocation of the ankle,Orthopedics,خلع الكاحل
open wound of the nose,ENT,جرح مفتوح للأنف
viral warts,Dermatology,الثآليل الفيروسية
broken tooth,Dentistry,الأسنان المكسورة
pseudotumor cerebri,Neurology,الدماغ الكاذب
myositis,Rheumatology,التهاب العضل
pericarditis,Cardiology,التهاب التامور
thyroid cancer,Oncology,سرطان الغدة الدرقية
uterine atony,Obstetrics,atony الرحم
meniere disease,ENT,مرض مينير
hemarthrosis,Orthopedics,التهاب المفاصل
volvulus,Gastroenterology,فولفولوس
plantar fasciitis,Orthopedics,التهاب اللفافة الأخمصية
degenerative disc disease,Orthopedics,مرض القرص التنكسي
prostate cancer,Urology,سرطان البروستاتا
kidney cancer,Oncology,سرطان الكلى
spherocytosis,Hematology,كروية
aphthous ulcer,Dentistry,قرحة قليلة
primary thrombocythemia,Hematology,تخثر الدم الابتدائي
persistent vomiting of unknown cause,Gastroenterology,القيء المستمر لسبب غير معروف
aphakia,Ophthalmology,Aphakia
tooth disorder,Dentistry,اضطراب الأسنان
bladder disorder,Urology,اضطراب المثانة
malignant hypertension,Cardiology,ارتفاع ضغط الدم الخبيث
chronic obstructive pulmonary disease (copd),Pulmonology,مرض الانسداد الرئوي المزمن (مرض الانسداد الرئوي المزمن)
vulvar cancer,Gynecology,سرطان الفرج
granuloma inguinale,Gynecology,الورم الحبيبي inguinale
psychosexual disorder,Psychiatry,الاضطراب النفسي الجنسي
inguinal hernia,General Surgery,الفتق الإربي
sialoadenitis,ENT,التهاب الغدة الدرقية
tinnitus of unknown cause,ENT,طنينا لسبب غير معروف
benign prostatic hyperplasia (bph),Urology,تضخم البروستاتا الحميدة (BPH)
placental abruption,Obstetrics,المشيمة
wernicke korsakoff syndrome,Neurology,متلازمة ويرنيك كورساكوف
venous insufficiency,Vascular Surgery,قصور وريدي
diabetes,Endocrinology,السكري
spontaneous abortion,Obstetrics,الإجهاض التلقائي
postpartum depression,Psychiatry,الاكتئاب بعد الولادة
iridocyclitis,Ophthalmology,التهاب القزحية
stye,Ophthalmology,stye
tonsillitis,ENT,التهاب اللوزتين
hemolytic anemia,Hematology,فقر الدم الانحلالي
soft tissue sarcoma,Oncology,ساركوما الأنسجة الرخوة
conductive hearing loss,ENT,فقدان السمع الموصل
ischemia of the bowel,Gastroenterology,نقص تروية الأمعاء
polycystic ovarian syndrome (pcos),Gynecology,متلازمة المبيض المتعدد الكيسات (PCOS)
polycystic kidney disease,Nephrology,مرض الكلية متعددة الكيسات
gallstone,Gastroenterology,حصاة صفراوية
myelodysplastic syndrome,Hematology,متلازمة خلل التنسج النقوي
asthma,Pulmonology,الربو
lewy body dementia,Neurology,لوي الجسد الخرف
chondromalacia of the patella,Orthopedics,chondromalacia من الرضفة
peritonitis,General Surgery,التهاب الصفاق
septic arthritis,Orthopedics,التهاب المفاصل الإنتان
cranial nerve palsy,Neurology,الشلل العصبي القحفي
rotator cuff injury,Orthopedics,إصابة الكفة المدورة
angina,Cardiology,ذبحة
hammer toe,Orthopedics,إصبع القدم المطرقة
oral mucosal lesion,Dentistry,آفة مخاطية عن طريق الفم
neuropathy due to drugs,Neurology,الاعتلال العصبي بسبب المخدرات
drug poisoning due to medication,Emergency Medicine,التسمم بالمخدرات بسبب الدواء
poisoning due to antipsychotics,Emergency Medicine,التسمم بسبب مضادات الذهان
benign vaginal discharge (leukorrhea),Gynecology,إفرازات مهبلية حميدة (مرض اللوكي)
rectal disorder,Colorectal Surgery,اضطراب المستقيم
extrapyramidal effect of drugs,Neurology,التأثير الخارجي للأدوية
impulse control disorder,Psychiatry,اضطراب التحكم في الاندفاع
otosclerosis,ENT,تصلب الأذن
ovarian cyst,Gynecology,كيس المبيض
sprain or strain,Orthopedics,التواء أو إجهاد
metabolic disorder,Endocrinology,اضطراب التمثيل الغذائي
diabetic ketoacidosis,Endocrinology,داء الكيتون في مرض السكري
sebaceous cyst,Dermatology,كيس سيباسي
open wound of the jaw,Plastic Surgery,الجرح المفتوح من الفك
cerebral palsy,Neurology,الشلل الدماغي
omphalitis,Pediatrics,التهاب الأومفال
breast infection (mastitis),Oncology,عدوى الثدي (التهاب الضرع)
chronic otitis media,ENT,التهاب الأذن الوسطى المزمن
alcohol abuse,Psychiatry,تعاطي الكحول
anemia due to malignancy,Hematology,فقر الدم بسبب الورم الخبيث
conjunctivitis due to virus,Ophthalmology,التهاب الملتحمة بسبب الفيروس
hypovolemia,Emergency Medicine,نقص سليميا الدم
peyronie disease,Urology,مرض بيروني
lyme disease,Infectious Disease,مرض لايم
chronic inflammatory demyelinating polyneuropathy (cidp),Neurology,اعتلال الأعصاب الالتهابي المزمن (CIDP)
spina bifida,Neurosurgery,سبنا بايفيدا
cyst of the eyelid,Ophthalmology,كيس الجفن
chronic sinusitis,ENT,التهاب الجيوب الأنفية المزمن
conjunctivitis due to bacteria,Ophthalmology,التهاب الملتحمة بسبب البكتيريا
pyelonephritis,Urology,التهاب الحواجز
dermatitis due to sun exposure,Dermatology,التهاب الجلد بسبب التعرض للشمس
myocarditis,Cardiology,التهاب عضل القلب
central atherosclerosis,Cardiology,تصلب الشرايين المركزية
parathyroid adenoma,Endocrinology,ورم الغدة الدرقية
common cold,ENT,زُكام
lumbago,Orthopedics,Lumbago
